publisher,points,quarter_start
Scholastic,309,2021-01-01
Random House Audio,193,2021-01-01
Crown,158,2021-01-01
HarperCollins,145,2021-01-01
Avon,145,2021-01-01
"Little, Brown",134,2021-01-01
Amulet,94,2021-01-01
Avery,93,2021-01-01
St. Martin's,93,2021-01-01
Ember,89,2021-01-01
Random House,89,2021-01-01
Knopf,87,2021-01-01
Balzer + Bray,87,2021-01-01
Delacorte,87,2021-01-01
Houghton Mifflin Harcourt,77,2021-01-01
Penguin Audio,70,2021-01-01
Penguin,65,2021-01-01
Simon & Schuster,64,2021-01-01
Grand Central,60,2021-01-01
HarperOne,58,2021-01-01
Riverhead,55,2021-01-01
Andrews McMeel,54,2021-01-01
Quill Tree,52,2021-01-01
Viking,48,2021-01-01
Square Fish,44,2021-01-01
Macmillan Audio,42,2021-01-01
Dell,37,2021-01-01
VIZ Media,36,2021-01-01
Dial,36,2021-01-01
Recorded Books,36,2021-01-01
St. Martin’s Griffin,35,2021-01-01
Norton,35,2021-01-01
Beacon,29,2021-01-01
HarperAudio,28,2021-01-01
Sourcebooks Jabberwocky,28,2021-01-01
Ecco,25,2021-01-01
One World,25,2021-01-01
Tim Duggan,22,2021-01-01
Disney-Hyperion,22,2021-01-01
Doubleday,20,2021-01-01
Penguin Press,20,2021-01-01
Algonquin,20,2021-01-01
Celadon,20,2021-01-01
Atria/Emily Bestler,19,2021-01-01
Kokila,19,2021-01-01
Grosset & Dunlap,18,2021-01-01
Hard Case Crime,17,2021-01-01
Harper,17,2021-01-01
Milkweed Editions,17,2021-01-01
Putnam,17,2021-01-01
Bloomsbury,16,2021-01-01
Morrow,16,2021-01-01
Ballantine,16,2021-01-01
Gallery,16,2021-01-01
Brilliance Audio,16,2021-01-01
Harper Perennial,14,2021-01-01
Thomas Nelson,14,2021-01-01
Tor/Forge,13,2021-01-01
Anchor,13,2021-01-01
Penguin Workshop,13,2021-01-01
Atria,13,2021-01-01
Berkley,12,2021-01-01
Aladdin,12,2021-01-01
Puffin,12,2021-01-01
Clarkson Potter,11,2021-01-01
St. Martin's Griffin,11,2021-01-01
Del Rey,11,2021-01-01
Feiwel & Friends,10,2021-01-01
Pinnacle,10,2021-01-01
Vintage,10,2021-01-01
Margaret K. McElderry,10,2021-01-01
Disney Lucasfilm,9,2021-01-01
Pamela Dorman,8,2021-01-01
WaterBrook,8,2021-01-01
Roaring Brook,8,2021-01-01
"Farrar, Straus & Giroux",8,2021-01-01
Silhouette,8,2021-01-01
Penguin/Portfolio,7,2021-01-01
Flatiron,7,2021-01-01
Penguin Life,7,2021-01-01
Northfield,6,2021-01-01
HarperFestival,6,2021-01-01
Harper Wave,6,2021-01-01
Sourcebooks Wonderland,5,2021-01-01
Podium Audio,5,2021-01-01
Sourcebooks Fire,5,2021-01-01
Quirk/Penguin,5,2021-01-01
Chronicle,4,2021-01-01
Dutton,4,2021-01-01
Center Street,4,2021-01-01
Atheneum/Caitlyn Dlouhy,4,2021-01-01
"Little, Brown Spark",3,2021-01-01
Entangled Teen,3,2021-01-01
Grove,3,2021-01-01
Minotaur,3,2021-01-01
Twelve,3,2021-01-01
Philomel,3,2021-01-01
Stepping Stone/Random House,1,2021-01-01
National Geographic,1,2021-01-01
Convergent,1,2021-01-01
Hearst Home Kids,1,2021-01-01
Seal,1,2021-01-01
NYLA,1,2021-01-01
Milkweed,1,2021-01-01
jimmy patterson-HMH,1,2021-01-01
Running Press,1,2021-01-01
Hachette Audio,0,2021-01-01
Portfolio/Penguin,0,2021-01-01
Hyperion/Disney,0,2021-01-01
Central Recovery,0,2021-01-01
Top Shelf Productions,0,2021-01-01
Haymarket,0,2021-01-01
Scribner,0,2021-01-01
"Melcher/MCD/Farrar, Straus & Giroux",0,2021-01-01
Sourcebooks Explore,0,2021-01-01
Brilliance,0,2021-01-01
Morrow Gift,0,2021-01-01
HQN,0,2021-01-01
Lioncrest,0,2021-01-01
jimmy patterson,0,2021-01-01
Hogarth,0,2021-01-01
Picador,0,2021-01-01
Wednesday,0,2021-01-01
Zebra/Kensington,0,2021-01-01
Revell,0,2021-01-01
Rodale,0,2021-01-01
Avid Reader/Simon & Schuster,0,2021-01-01
Portfolio,0,2021-01-01
Workman,0,2021-01-01
HarperTeen,0,2021-01-01
Melville House,0,2021-01-01
Beacon Press,0,2021-01-01
Orchard,0,2021-01-01
Abrams Appleseed,0,2021-01-01
Broadside,0,2021-01-01
Candlewick,0,2021-01-01
New Press,0,2021-01-01
Graydon House,0,2021-01-01
Atheneum,0,2021-01-01
Ramsey Press,0,2021-01-01
Frances Lincoln,0,2021-01-01
"Melcher Media/MCD/Farrar, Straus & Giroux",0,2021-01-01
Broadway,0,2021-01-01
Liveright,0,2021-01-01
Greenwillow,0,2021-01-01
Simon & Schuster Audio,0,2021-01-01
Tundra,0,2021-01-01
Zebra,0,2021-01-01
Razorbill,0,2021-01-01
Sourcebooks Landmark,0,2021-01-01
Washington Square,0,2021-01-01
Simon & Schuster/Paula Wiseman,0,2021-01-01
Griffin,0,2021-01-01
Berrett-Koehler,0,2021-01-01
Atlantic Monthly,0,2021-01-01
Holt,0,2021-01-01
Back Bay,0,2021-01-01
Harper Audio,0,2021-01-01
Gildan Media,0,2021-01-01
Pocket,0,2021-01-01
Spiegel & Grau,0,2021-01-01
Denene Millner,0,2021-01-01
Audible Studios,0,2021-01-01
Kodansha,0,2021-01-01
MIRA,0,2021-01-01
Houghton Mifflin-Dial,0,2021-01-01
"Back Bay/Little, Brown",0,2021-01-01
Gallery/Saga,0,2021-01-01
Rockridge,0,2021-01-01
Harlequin,0,2021-01-01
Tor,0,2021-01-01
Kensington,0,2021-01-01
Bantam,0,2021-01-01
Henry Holt & Company,0,2021-01-01
Park Row,0,2021-01-01
Scholastic,312,2021-04-01
"Little, Brown",142,2021-04-01
St. Martin's,135,2021-04-01
HarperCollins,130,2021-04-01
Square Fish,113,2021-04-01
Macmillan Audio,107,2021-04-01
Avery,101,2021-04-01
Amulet,99,2021-04-01
Random House Audio,98,2021-04-01
Crown,97,2021-04-01
Random House,88,2021-04-01
Putnam,83,2021-04-01
Doubleday,81,2021-04-01
Simon & Schuster Audio,81,2021-04-01
Penguin,79,2021-04-01
Ember,74,2021-04-01
Simon & Schuster,73,2021-04-01
Delacorte,72,2021-04-01
Knopf,69,2021-04-01
Ecco,67,2021-04-01
Ballantine,67,2021-04-01
Quill Tree,65,2021-04-01
Viking,64,2021-04-01
Dell,60,2021-04-01
Grand Central,60,2021-04-01
HarperOne,59,2021-04-01
Houghton Mifflin Harcourt,59,2021-04-01
Penguin Audio,57,2021-04-01
Avon,47,2021-04-01
Norton,45,2021-04-01
Flatiron,41,2021-04-01
Broadside,40,2021-04-01
Twelve,39,2021-04-01
Holt,37,2021-04-01
Roaring Brook,37,2021-04-01
Milkweed Editions,37,2021-04-01
Imprint,37,2021-04-01
Hard Case Crime,28,2021-04-01
Audible Studios,28,2021-04-01
Berkley,26,2021-04-01
Morrow,26,2021-04-01
HarperTeen,24,2021-04-01
One World,23,2021-04-01
Celadon,21,2021-04-01
Chronicle,21,2021-04-01
"Little, Brown Spark",19,2021-04-01
Sourcebooks Jabberwocky,18,2021-04-01
Feiwel & Friends,17,2021-04-01
Dutton,17,2021-04-01
Bloom,14,2021-04-01
Margaret K. McElderry,14,2021-04-01
HarperFestival,13,2021-04-01
Beacon,13,2021-04-01
Balzer + Bray,11,2021-04-01
Rodale,11,2021-04-01
Grosset & Dunlap,11,2021-04-01
World of Eric Carle,11,2021-04-01
Pushkin Industries,10,2021-04-01
MIRA,10,2021-04-01
HarperAlley,10,2021-04-01
Gallery,9,2021-04-01
Disney-Hyperion,9,2021-04-01
Candlewick,9,2021-04-01
Atheneum,9,2021-04-01
Greenwillow,8,2021-04-01
Puffin,8,2021-04-01
Harper Wave,7,2021-04-01
Clarkson Potter,6,2021-04-01
Emily Bestler/Atria,6,2021-04-01
VIZ Media,5,2021-04-01
Andrews McMeel,5,2021-04-01
Vintage,5,2021-04-01
Hachette Audio,5,2021-04-01
St. Martin's Griffin,5,2021-04-01
Pocket,4,2021-04-01
Ace,4,2021-04-01
Atria,4,2021-04-01
Brilliance Audio,4,2021-04-01
Kodansha,4,2021-04-01
Atria/Emily Bestler,4,2021-04-01
Central Recovery,4,2021-04-01
Dial,4,2021-04-01
Kokila,3,2021-04-01
Harper,3,2021-04-01
Wednesday,3,2021-04-01
TarcherPerigee,3,2021-04-01
Dey St.,3,2021-04-01
Park Row,2,2021-04-01
Harper Perennial,2,2021-04-01
Citadel,2,2021-04-01
Swoon Reads,2,2021-04-01
Tor.com,2,2021-04-01
St. Martin’s Griffin,2,2021-04-01
Washington Square,2,2021-04-01
Liveright,2,2021-04-01
jimmy patterson,1,2021-04-01
Penguin Workshop,1,2021-04-01
Compendium,1,2021-04-01
Back Bay,0,2021-04-01
Del Rey,0,2021-04-01
Harper Audio,0,2021-04-01
Pinnacle,0,2021-04-01
Yearling,0,2021-04-01
Seal,0,2021-04-01
Penguin Press,0,2021-04-01
Tim Duggan,0,2021-04-01
Aladdin,0,2021-04-01
Workman,0,2021-04-01
Abrams Image,0,2021-04-01
Riverhead,0,2021-04-01
Avid Reader/Simon & Schuster,0,2021-04-01
Penguin/Portfolio,0,2021-04-01
Northfield,0,2021-04-01
National Geographic,0,2021-04-01
Portfolio,0,2021-04-01
Scribner,0,2021-04-01
Regnery,0,2021-04-01
Picador,0,2021-04-01
HQN,0,2021-04-01
Stepping Stone/Random House,0,2021-04-01
"Farrar, Straus & Giroux",0,2021-04-01
Harlequin,0,2021-04-01
Abrams,0,2021-04-01
Forever,0,2021-04-01
Hanover Square,0,2021-04-01
Silhouette,0,2021-04-01
"Back Bay/Little, Brown",0,2021-04-01
jimmy patterson-HMH,0,2021-04-01
Philomel,0,2021-04-01
Harper Business,0,2021-04-01
Atria/One Signal,0,2021-04-01
Thomas Nelson,0,2021-04-01
Bantam,0,2021-04-01
Atheneum/Caitlyn Dlouhy,0,2021-04-01
Library of America,0,2021-04-01
FaithWords,0,2021-04-01
Gallery/Scout,0,2021-04-01
Running Press,0,2021-04-01
Threshold Editions,0,2021-04-01
Orbit,0,2021-04-01
Sourcebooks Fire,0,2021-04-01
Tor/Forge,0,2021-04-01
Bloomsbury,0,2021-04-01
Anchor,0,2021-04-01
Harmony,0,2021-04-01
Currency,0,2021-04-01
Metropolitan/Holt,0,2021-04-01
Inkyard,0,2021-04-01
Harper Design,0,2021-04-01
HarperAudio,0,2021-04-01
Graydon House,0,2021-04-01
Sourcebooks Wonderland,0,2021-04-01
Griffin,0,2021-04-01
The Open Field,0,2021-04-01
Sourcebooks Landmark,0,2021-04-01
Zebra,0,2021-04-01
WaterBrook,0,2021-04-01
Scholastic,263,2021-07-01
Houghton Mifflin Harcourt,140,2021-07-01
Avery,126,2021-07-01
Threshold Editions,113,2021-07-01
Simon & Schuster Audio,104,2021-07-01
"Little, Brown",104,2021-07-01
Penguin,100,2021-07-01
Random House Audio,98,2021-07-01
Simon & Schuster,96,2021-07-01
Delacorte,88,2021-07-01
Ember,87,2021-07-01
Dell,85,2021-07-01
Random House,82,2021-07-01
VIZ Media,76,2021-07-01
Harper,72,2021-07-01
HarperCollins,70,2021-07-01
Knopf,69,2021-07-01
Atria,67,2021-07-01
Quill Tree,66,2021-07-01
Berkley,62,2021-07-01
Penguin Audio,61,2021-07-01
Amulet,61,2021-07-01
Square Fish,60,2021-07-01
St. Martin's,59,2021-07-01
HarperOne,58,2021-07-01
Macmillan Audio,55,2021-07-01
Harper Perennial,55,2021-07-01
Balzer + Bray,53,2021-07-01
One World,53,2021-07-01
Audible Studios,52,2021-07-01
Scribner,49,2021-07-01
Putnam,48,2021-07-01
Riverhead,47,2021-07-01
Milkweed Editions,44,2021-07-01
Penguin Press,44,2021-07-01
Ecco,40,2021-07-01
Grand Central,39,2021-07-01
Hyperion,36,2021-07-01
"Farrar, Straus & Giroux",33,2021-07-01
Broadside,32,2021-07-01
"Little, Brown Spark",31,2021-07-01
Ballantine,29,2021-07-01
Disney-Hyperion,28,2021-07-01
Atheneum,25,2021-07-01
HarperTeen,24,2021-07-01
Center Street,24,2021-07-01
Holt,23,2021-07-01
Dial,20,2021-07-01
Washington Square,18,2021-07-01
Puffin,18,2021-07-01
Crown,17,2021-07-01
Pocket,15,2021-07-01
Avid Reader,15,2021-07-01
Minotaur,15,2021-07-01
jimmy patterson,15,2021-07-01
"Back Bay/Little, Brown",15,2021-07-01
Viking,14,2021-07-01
Celadon,12,2021-07-01
Convergent,11,2021-07-01
Nancy Paulsen,11,2021-07-01
First Second,10,2021-07-01
Emily Bestler/Atria,10,2021-07-01
Washington Square/Atria,9,2021-07-01
Dey Street,8,2021-07-01
Hachette Audio,8,2021-07-01
Northfield,8,2021-07-01
Sourcebooks Fire,8,2021-07-01
Doubleday,7,2021-07-01
Grosset & Dunlap,7,2021-07-01
Clarkson Potter,6,2021-07-01
Twelve,6,2021-07-01
Disney Lucasfilm,6,2021-07-01
Candlewick,6,2021-07-01
Wednesday,5,2021-07-01
PublicAffairs,5,2021-07-01
Silhouette,5,2021-07-01
Aladdin,4,2021-07-01
Podium Audio,4,2021-07-01
Pushkin Industries,4,2021-07-01
Hachette,4,2021-07-01
Zebra,4,2021-07-01
Feiwel & Friends,4,2021-07-01
HarperAudio,4,2021-07-01
Morrow,4,2021-07-01
Beacon,4,2021-07-01
Running Press,4,2021-07-01
Sourcebooks Jabberwocky,3,2021-07-01
Katherine Tegen,3,2021-07-01
Flatiron,3,2021-07-01
Pamela Dorman,3,2021-07-01
Hearst Home Kids,2,2021-07-01
Penguin Life,2,2021-07-01
Plume,2,2021-07-01
National Geographic,2,2021-07-01
Thomas Nelson,2,2021-07-01
Roaring Brook,1,2021-07-01
Dutton,1,2021-07-01
Poppy,1,2021-07-01
Sourcebooks Wonderland,1,2021-07-01
Colleen Hoover,1,2021-07-01
Norton,1,2021-07-01
Hanover Square,1,2021-07-01
Bloom,0,2021-07-01
Kokila,0,2021-07-01
Workman,0,2021-07-01
Harper Horizon,0,2021-07-01
Blackstone,0,2021-07-01
Spiegel & Grau,0,2021-07-01
Back Bay,0,2021-07-01
Gallery,0,2021-07-01
Liveright,0,2021-07-01
Griffin,0,2021-07-01
Broadway,0,2021-07-01
Imprint,0,2021-07-01
Harlequin Audio,0,2021-07-01
Greenwillow,0,2021-07-01
WaterBrook,0,2021-07-01
Razorbill,0,2021-07-01
‎Back Bay/Little Brown,0,2021-07-01
St. Martin's Griffin,0,2021-07-01
Graydon House,0,2021-07-01
Chronicle,0,2021-07-01
‎Berkley,0,2021-07-01
Gallery Books,0,2021-07-01
Ace,0,2021-07-01
Avid Reader/Simon & Schuster,0,2021-07-01
Zebra/Kensington,0,2021-07-01
Stepping Stone/Random House,0,2021-07-01
Custom House,0,2021-07-01
Lioncrest,0,2021-07-01
Portfolio,0,2021-07-01
Atheneum/Caitlyn Dlouhy,0,2021-07-01
Tor,0,2021-07-01
Bantam,0,2021-07-01
Vintage,0,2021-07-01
Harper Wave,0,2021-07-01
HarperAlley,0,2021-07-01
Avon,0,2021-07-01
MIRA,0,2021-07-01
Algonquin,0,2021-07-01
Philomel,0,2021-07-01
Margaret K. McElderry,0,2021-07-01
Kodansha,0,2021-07-01
Pinnacle,0,2021-07-01
Del Rey,0,2021-07-01
Tor/Forge,0,2021-07-01
Anchor,0,2021-07-01
Central Recovery,0,2021-07-01
Hyperion/Disney,0,2021-07-01
Harper Design,0,2021-07-01
Harlequin,0,2021-07-01
Scholastic,266,2021-10-01
Harper,138,2021-10-01
Viking,126,2021-10-01
Delacorte,126,2021-10-01
Grand Central,122,2021-10-01
Avery,104,2021-10-01
Random House Audio,100,2021-10-01
Macmillan Audio,92,2021-10-01
"Little, Brown",87,2021-10-01
HarperCollins,77,2021-10-01
Ember,76,2021-10-01
Atria,76,2021-10-01
Doubleday,73,2021-10-01
Amulet,70,2021-10-01
Penguin,68,2021-10-01
Quill Tree,66,2021-10-01
Houghton Mifflin Harcourt,66,2021-10-01
Morrow,66,2021-10-01
Random House,60,2021-10-01
Simon & Schuster Audio,57,2021-10-01
Knopf,53,2021-10-01
Custom House,52,2021-10-01
Washington Square/Atria,51,2021-10-01
Square Fish,50,2021-10-01
Simon & Schuster,48,2021-10-01
Penguin Audio,43,2021-10-01
One World,42,2021-10-01
HarperAudio,42,2021-10-01
Dey Street,41,2021-10-01
Holt,40,2021-10-01
Disney-Hyperion,39,2021-10-01
Milkweed Editions,39,2021-10-01
Sourcebooks Jabberwocky,38,2021-10-01
VIZ Media,36,2021-10-01
Candlewick,36,2021-10-01
HarperOne,34,2021-10-01
Berkley,33,2021-10-01
Ecco,33,2021-10-01
Penguin Press,30,2021-10-01
Scribner,29,2021-10-01
Hachette,24,2021-10-01
Back Bay,24,2021-10-01
Atheneum,24,2021-10-01
Broadside,24,2021-10-01
Threshold Editions,22,2021-10-01
Margaret K. McElderry,21,2021-10-01
Putnam,21,2021-10-01
Liveright,21,2021-10-01
Dutton,21,2021-10-01
Audible Originals,20,2021-10-01
Dell,20,2021-10-01
Random House Worlds,20,2021-10-01
Recorded Books,20,2021-10-01
MIRA,20,2021-10-01
Flatiron,18,2021-10-01
Hachette Audio,16,2021-10-01
Pocket,16,2021-10-01
jimmy patterson,15,2021-10-01
‎Dey Street,15,2021-10-01
Abrams,15,2021-10-01
Zebra,15,2021-10-01
Avid Reader,14,2021-10-01
"Farrar, Straus & Giroux",14,2021-10-01
Chronicle,13,2021-10-01
Sentinel,12,2021-10-01
Harper Perennial,12,2021-10-01
Kodansha,12,2021-10-01
Balzer + Bray,12,2021-10-01
Ballantine,12,2021-10-01
First Second,10,2021-10-01
Hanover Square,10,2021-10-01
Andy Cohen,10,2021-10-01
Legacy Lit,10,2021-10-01
Emily Bestler/Atria,9,2021-10-01
Feiwel & Friends,9,2021-10-01
Portfolio,8,2021-10-01
Wednesday,8,2021-10-01
St. Martin's,8,2021-10-01
Crown,8,2021-10-01
"Simon & Schuster, St. Martin's",8,2021-10-01
Algonquin,8,2021-10-01
Hyperion,8,2021-10-01
Mira,8,2021-10-01
Dial,8,2021-10-01
Sourcebooks Explore,7,2021-10-01
Atheneum/Caitlyn Dlouhy,7,2021-10-01
"Simon & Schuster, St. Martin’s",7,2021-10-01
Black Dog & Leventhal,7,2021-10-01
Colleen Hoover,6,2021-10-01
Gallery,6,2021-10-01
Penguin Teen,6,2021-10-01
Harper Wave,6,2021-10-01
Kokila,6,2021-10-01
Hay House,5,2021-10-01
Ten Speed,5,2021-10-01
Tim Duggan,5,2021-10-01
DK,5,2021-10-01
Clarkson Potter,5,2021-10-01
Sourcebooks Wonderland,5,2021-10-01
Mariner,4,2021-10-01
Orbit,4,2021-10-01
Rick Riordan Presents,4,2021-10-01
Ace,3,2021-10-01
Bloomsbury,3,2021-10-01
Del Rey,3,2021-10-01
Roaring Brook,3,2021-10-01
Twelve,3,2021-10-01
Norton,3,2021-10-01
Shadow Mountain,3,2021-10-01
Northfield,2,2021-10-01
Andrews McMeel,2,2021-10-01
Tor,2,2021-10-01
Mobius,2,2021-10-01
Poppy,2,2021-10-01
WaterBrook,2,2021-10-01
Stepping Stone/Random House,1,2021-10-01
Skyhorse,1,2021-10-01
Tor Teen,1,2021-10-01
Thomas Nelson,1,2021-10-01
Philomel,1,2021-10-01
Workman,1,2021-10-01
Aladdin,1,2021-10-01
Voracious,1,2021-10-01
Pamela Dorman,1,2021-10-01
Riverhead,0,2021-10-01
Etch/Clarion,0,2021-10-01
Regnery,0,2021-10-01
Back Bay/Little Brown,0,2021-10-01
Rodale,0,2021-10-01
‎St. Martin's Griffin,0,2021-10-01
Yen Press,0,2021-10-01
HQN,0,2021-10-01
Hogarth,0,2021-10-01
Central Recovery,0,2021-10-01
Tor/Forge,0,2021-10-01
Penguin Group,0,2021-10-01
Penguin Workshop,0,2021-10-01
Center Street,0,2021-10-01
Chronicle Prism,0,2021-10-01
Pinnacle,0,2021-10-01
